year,tag,countryName,population,gdp,rgoUnemploymentRate,factoryUnemploymentRate,rgoWorkforce,factoryWorkforce,continent,gdpPerCapita,totalPercentageOfUnemployed
1993,KIR,Kiribati,70452,48985484,1.2066667,37.577362,15000,1131,Oceania,695,3.8
1993,KMT,Republic of China,20577728,1.12E+11,0.46978956,12.439231,4019672,584176,Asia,5455,2
1993,KOS,Kosovo,0,0,0,0,0,0,Europe,0,0
1993,KRQ,Iraqi Kurdistan,0,0,0,0,0,0,Asia,0,0
1993,KUW,Kuwait,2172212,24724564000,2.203252,-3.4597642,403086,78040,Asia,11382,1.3
1993,KYR,Kyrgyzstan,4371668,2773158800,1.3148888,89.474075,951031,54000,Asia,634,6
1993,LAT,Latvia,2675436,20923947000,1.6518692,-4.3527503,537028,73287,Europe,7821,1
1993,LBW,Lebowa,1399932,6105824300,0.3100857,29.465595,283470,28630,Africa,4362,3
1993,LBY,Libya,4034700,5899444200,1.2570261,42.21797,733159,95078,Africa,1462,6
1993,LEB,Lebanon,1945128,14653217000,0.037539534,-4.9372272,338310,60297,Asia,7533,-0.7
1993,LES,Lesotho,1745348,8357074000,2.313663,-6.6651716,387913,17839,Africa,4788,1.9
1993,LIB,Liberia,2203612,7523646000,16.645885,-7.0432076,464343,39854,Africa,3414,14.7
1993,LIT,Lithuania,3707060,15204678000,0.35515016,-4.6249523,741095,96801,Europe,4102,-0.2
1993,LUA,Luang Prabang,1876104,1513618300,2.646379,-1035.5422,431722,166,Asia,807,2.2
1993,LUX,Luxemburg,375704,8461208000,0,-4.2780333,72875,12833,Europe,22521,-0.6
1993,MAC,Macedonia,2088060,918988000,0.6721078,58.707447,392199,55843,Europe,440,7.9
1993,MAD,Madagascar,11996984,19976285000,0,-9.917467,2618225,148062,Africa,1665,-0.5
1993,MAL,Malta,360420,4885083000,1.0079904,-4.0126476,67957,13283,Europe,13554,0.2
1993,MAR,Marshall Islands,46516,166704300,1.0626879,-3.4454472,9316,1219,Oceania,3584,0.6
1993,MAU,Mauritania,1969936,3228449200,2.2224133,2.4437194,418959,30650,Africa,1639,2.2
1993,MCA,Macau,0,0,0,0,0,0,Asia,0,0
1993,MEX,Mexico,85307960,4.96E+11,0.4845236,-6.4120517,17525669,1972177,North America,5814,-0.2
1993,MGL,Mongolia,2221436,11334964000,0.13732344,-5.4635396,388863,49931,Asia,5103,-0.5
1993,MIC,Micronesia,109220,62200950,1.1638906,31.422272,24315,907,Oceania,570,2.3
1993,MIN,Mindanao,0,0,0,0,0,0,Asia,0,0
1993,MLD,Maldives,197780,109950160,0.4819163,53.482998,42331,3029,Asia,556,4
1993,MLI,Mali,8365128,36896527000,0.7185032,-3.619713,1828802,110506,Africa,4411,0.5
1993,MLW,Malawi,10009608,16484602000,1.9905957,-20.619072,2268969,57990,Africa,1647,1.4
1993,MOL,Moldavia,4208176,20152324000,24.863363,-7.0515304,871113,72268,Europe,4789,22.4
1993,MON,Montenegro,0,0,0,0,0,0,Europe,0,0
1993,MOR,Morocco,24209592,40720514000,11.644139,60.331936,4984310,477442,Africa,1682,15.9
1993,MOZ,Mozambique,13508272,25636334000,3.6142497,-10.523508,2968832,159348,Africa,1898,2.9
1993,MRT,Mauritius,1081164,8361046600,0,-7.809468,233041,17005,Africa,7733,-0.5
1993,MSU,Mosul,0,0,0,0,0,0,Asia,0,0
1993,MSY,Malaysia,17893072,60500104000,0.82311976,38.64349,3455026,461625,Asia,3381,5.3
1993,NAM,Namibia,1531740,21026343000,0.92654985,-15.030774,298311,15435,Africa,13727,0.1
1993,NAU,Nauru,8908,2340187,5.0060315,-2.3323617,1658,343,Oceania,263,3.7
1993,NCA,New Caledonia,0,0,0,0,0,0,Oceania,0,0
1993,NCY,Northern Cyprus,213036,522948700,0.7358971,19.29299,45115,5007,Asia,2455,2.6
1993,NDB,KwaNdebele,291280,1719072700,0,-6.3304243,59212,6761,Africa,5902,-0.6
1993,NEP,Nepal,18807312,16246233000,7.301638,6.433152,4123280,198332,Asia,864,7.3
1993,NET,Netherlands,15042436,83582200000,0.24633262,-4.494534,2906639,495246,Europe,5556,-0.5
1993,NGE,Nigeria,77591944,2.31E+11,2.423527,31.350199,16463279,1370422,Africa,2974,4.6
1993,NGW,KaNgwane,570116,4262270700,1.3798367,95.68442,116608,12675,Africa,7476,10.6
1993,NIC,Nicaragua,3703664,26024835000,1.3700424,-5.791246,771144,78705,North America,7027,0.7
1993,NIG,Niger,8200844,18172649000,3.7141302,-0.10303181,1873090,52411,Africa,2216,3.6
1993,NIU,Niue,44168,72102450,0.40844908,10.390568,8569,1357,Oceania,1632,1.8
1993,NKO,North Korea,20537052,99711730000,0.040093016,33.024387,3691416,500845,Asia,4855,3.9
1993,NMI,Northern Mariana Islands,53560,363244580,1.8987951,-3.5602093,10375,1910,Oceania,6782,1
1993,NOR,Norway,4213468,67178534000,0.10614354,-4.175546,813992,136078,Europe,15944,-0.5
1993,NZL,New Zealand,3899416,21579294000,11.1558695,-0.053033933,736554,154618,Oceania,5534,9.2
1993,OMA,Oman,1821184,8264268000,1.417707,-4.784689,353317,49324,Asia,4538,0.6
1993,PAK,Pakistan,122454676,7.90E+11,4.193306,12.545119,27282937,684298,Asia,6453,4.4
1993,PAL,Palestine,0,0,0,0,0,0,Asia,0,0
1993,PAU,Palau,12776,1129024.9,2.8169014,0,2840,0,Oceania,88,2.8
1993,PER,Persia,58547816,2.88E+11,0.3157141,-1.0928799,11250052,1470427,Asia,4921,0.1
1993,PEU,Peru,21578600,96425160000,0.6524253,16.533304,4222399,610991,South America,4469,2.7
1993,PHI,Philippines,65613728,1.32E+11,0.8013322,47.0837,13801766,1186228,Asia,2018,4.5
1993,PNM,Panama,2272464,24364992000,1.3042754,-4.2048364,450825,67898,North America,10722,0.6
1993,POL,Poland,38580340,1.00E+11,2.6136806,57.529907,8108259,566076,Europe,2597,6.2
1993,POR,Portugal,10428476,55450370000,0.82592237,-6.0851254,2109157,240751,Europe,5317,0.1
1993,PPN,Papua New Guinea,3790988,1552846050,7.705488,75.85196,869017,17049,Oceania,410,9
1993,PRG,Paraguay,4183864,16334488000,0.6869807,-4.7381163,820547,97085,South America,3904,0.1
1993,PUR,Puerto Rico,3554172,44955865000,2.9477065,-3.7060068,676526,123826,North America,12649,1.9
1993,QAT,Qatar,439000,5485353000,0,-3.4974093,80572,16212,Asia,12495,-0.6
1993,QWA,QwaQwa,246948,103213700,0.54609,59.81545,50358,5527,Africa,418,6.4
1993,ROC,Rep of the Congo,2351480,8732256000,1.6628335,-5.4224734,478701,55897,Africa,3714,1
1993,ROM,Romania,23236736,1.20E+11,1.125684,10.545229,4776296,484200,Europe,5160,2
1993,RSA,Republic of South Africa,0,0,0,0,0,0,Africa,0,0
1993,RSR,Republica Srpska,1925700,2852972400,0.120159574,100,400301,34266,Europe,1482,8
1993,RUS,Russia  ,144578432,1.06E+12,0.40267265,-8.038581,29634993,2652060,Europe,7316,-0.3
1993,RUT,Ruthenia,0,0,0,0,0,0,Europe,0,0
1993,RWA,Rwanda,7289004,5917417000,8.028955,94.73385,1644610,49144,Africa,812,10.5
1993,SAA,Saudi Arabia,16168216,97909730000,1.1104771,-4.0967507,3089483,486776,Asia,6056,0.4
1993,SAF,South Africa,29197788,2.34E+11,1.1785978,0.8701926,5969382,701339,Africa,8015,1.2
1993,SAM,Samoa,164744,121035720,1.2632835,-3.2599835,36888,1227,Oceania,735,1.2
1993,SEL,Seleka,0,0,0,0,0,0,Africa,0,0
